,name,cost,competitive rate,code,date
429,앱클론,"10,000",799.09:1,  174900,  2017.09.18
430,펄어비스,"103,000",0.43:1,  263750,  2017.09.14
431,케이피에스,"14,000",452.96:1,  256940,  2017.09.06
432,덕우전자,"15,500",586.43:1,  263600,  2017.08.28
433,하나금융스팩10호,"2,000",2.43:1,  270520,  2017.08.22
434,이더블유케이,"5,000",1160.15:1,  258610,  2017.08.22
435,컬러레이,"3,800",0.73:1,  900310,  2017.08.10
436,알에스오토메이션,"6,000",1058.82:1,  140670,  2017.08.11
437,모트렉스,"38,300",422.73:1,  118990,  2017.08.04
438,엔에이치스팩12호,"2,000",0.43:1,  273060,  2017.08.07
439,지니언스,"13,500",922.71:1,  263860,  2017.08.02
440,데이타솔루션,"3,300",733.74:1,  263800,  2017.08.03
441,디앤씨미디어,"20,000",563.10:1,  263720,  2017.08.01
442,셀트리온헬스케어,"41,000",6.95:1,  091990,  2017.07.28
443,이즈미디어,"7,500",13.87:1,  181340,  2017.07.26
444,한국스팩5호,"2,000",6.66:1,  271740,  2017.07.24
445,힘스,"20,000",795.94:1,  238490,  2017.07.20
446,아우딘퓨쳐스,"26,000",2.99:1,  227610,  2017.07.12
447,브이원텍,"17,700",754.31:1,  251630,  2017.07.13
448,제일홀딩스,"20,700",20.67:1,  003380,  2017.06.30
449,하나금융스팩9호,"2,000",0.19:1,  261200,  2017.06.26
450,교보스팩7호,"2,000",0.17:1,  267320,  2017.06.22
451,한화수성스팩,"2,000",0.74:1,  265920,  2017.06.08
452,보라티알,"14,300",1026.34:1,  250000,  2017.06.08
453,필옵틱스,"48,000",588.96:1,  161580,  2017.06.01
454,삼양옵틱스,"16,700",2.88:1,  225190,  2017.06.02
455,IBKS스팩6호,"2,000",0.58:1,  264850,  2017.06.01
456,미래에셋대우스팩1호,"2,000",86.39:1,  265480,  2017.05.26
457,ING생명보험,"33,000",0.82:1,  079440,  2017.05.11
458,넷마블게임즈,"157,000",29.17:1,  251270,  2017.05.12
459,한화에이스스팩3호,"2,000",130.07:1,  264290,  2017.05.02
460,엔에이치스팩10호,"2,000",1.21:1,  256630,  2017.05.02
461,와이엠티,"21,000",841.57:1,  251370,  2017.04.27
462,하나머티리얼즈,"12,000",955.33:1,  166090,  2017.04.28
463,케이비스팩11호,"2,000",0.53:1,  258790,  2017.04.27
464,신영스팩3호,"2,000",61.90:1,  263770,  2017.04.06
465,이엘피,"20,000",738.15:1,  063760,  2017.04.06
466,서진시스템,"25,000",742.06:1,  178320,  2017.03.27
467,코미코,"13,000",745.44:1,  183300,  2017.03.23
468,아스타,"8,000",484.52:1,  246720,  2017.03.20
469,덴티움,"32,000",364.19:1,  145720,  2017.03.15
470,대신밸런스스팩4호,"2,000",0.03:1,  262830,  2017.03.03
471,에스디생명공학,"12,000",2.38:1,  217480,  2017.03.02
472,신신제약,"4,500",72.50:1,  002800,  2017.02.28
473,에프엔에스테크,"14,000",840.67:1,  083500,  2017.02.27
474,모바일어플라이언스,"3,500",636.77:1,  087260,  2017.02.24
475,신한스팩3호,"2,000",0.27:1,  257730,  2017.02.23
476,피씨엘,"8,000",2.01:1,  241820,  2017.02.23
477,호전실업,"25,000",331.3:1,  111110,  2017.02.02
478,서플러스글로벌,"8,000",548:1,  140070,  2017.01.25
479,유바이오로직스,"6,000",10.5:1,  206650,  2017.01.24
480,엔에이치스팩11호,"2,000",0.34:1,  256840,  2016.12.28
481,퓨전데이타,"11,500",572.56:1,  195440,  2016.12.21
482,디에스씨인베스트먼트,"1,700",10.77:1,  241520,  2016.12.19
483,티에스인베스트먼트,"1,300",2.02:1,  246690,  2016.12.15
484,마이크로프랜드,"7,300",1.17:1,  147760,  2016.12.12
485,코썬바이오,"7,000",5.78:1,  204990,  2016.12.09
486,애니젠,"18,000",812.5:1,  196300,  2016.12.07
487,신라젠,"15,000",172.52:1,  215600,  2016.12.06
488,유니온커뮤니티,"5,000",1.96:1,  203450,  2016.12.07
489,퓨쳐켐,"15,000",473.9:1,  220100,  2016.12.01
490,핸즈코퍼레이션,"12,000",6.99:1,  143210,  2016.12.02
491,IBKS스팩5호,"2,000",9.4:1,  254120,  2016.12.02
492,엘앤케이바이오,"15,000",317.14:1,  156100,  2016.11.30
493,뉴파워프라즈마,"17,500",521.29:1,  144960,  2016.11.30
494,오션브릿지,"6,600",1135.44:1,  241790,  2016.12.01
495,에이치엔티일렉트로닉스,"10,000",996.23:1,  176440,  2016.11.28
496,핸디소프트,"5,600",1170.44:1,  220180,  2016.11.24
497,두산밥캣,"30,000",0.29:1,  241560,  2016.11.18
498,에스케이스팩3호,"2,000",0.12:1,  232330,  2016.11.16
499,삼성바이오로직스,"136,000",45.34:1,  207940,  2016.11.10
500,클리오,"41,000",5.68:1,  237880,  2016.11.09
501,오가닉티코스메틱,"4,000",672.42:1,  900300,  2016.11.04
502,로고스바이오시스템스,"25,500",208.48:1,  238120,  2016.11.03
503,아이비케이에스지엠비스팩,"2,000",17.51:1,  252500,  2016.11.02
504,인크로스,"43,000",1047.5:1,  216050,  2016.10.31
505,에이치엘사이언스(구.건강사랑),"27,000",174:1,  239610,  2016.10.28
506,코스메카코리아,"54,000",391.4:1,  241710,  2016.10.28
507,제이더블유생명과학,"30,000",220.29:1,  234080,  2016.10.27
508,그레이트리치과기,"5,000",7.01:1,  900290,  2016.10.25
509,금세기차륜(골든센츄리),"3,500",345.4:1,  900280,  2016.10.19
510,인텔리안테크놀로지스,"19,000",744.63:1,  189300,  2016.10.18
511,에이치시티,"17,000",127.28:1,  072990,  2016.10.17
512,잉글우드랩,"6,000",350.46:1,  950140,  2016.10.14
513,앤디포스,"14,500",524.2:1,  238090,  2016.10.12
514,수산아이앤티(구.플러스기술),"11,500",12.97:1,  050960,  2016.10.11
515,미투온,"3,800",1.15:1,  201490,  2016.10.10
516,화승엔터프라이즈,"15,000",0.43:1,  241590,  2016.10.04
517,케이비스팩10호,"2,000",1.25:1,  250930,  2016.09.29
518,엘에스전선아시아,"8,000",2.98:1,  229640,  2016.09.22
519,유니테크노,"10,300",1003.29:1,  241690,  2016.09.20
520,모두투어리츠,"6,000",0.98:1,  204210,  2016.09.22
521,하나금융스팩8호,"2,000",0.74:1,  250060,  2016.09.08
522,교보비엔케이스팩,"2,000",0.38:1,  242040,  2016.09.08
523,자이글,"11,000",610.76:1,  234920,  2016.09.06
524,헝셩그룹,"3,600",0.77:1,  900270,  2016.08.18
525,에코마케팅,"35,000",1103:1,  230360,  2016.08.08
526,엔지스테크널러지,"10,000",562.94:1,  208860,  2016.07.28
527,팍스넷,"5,200",946.51:1,  038160,  2016.08.01
528,두올,"8,500",2.17:1,  016740,  2016.07.29
529,우리손에프앤지,"2,210",638.97:1,  073560,  2016.07.27
530,옵토팩,"5,900",371.21:1,  123010,  2016.07.20
531,장원테크,"17,500",854.49:1,  174880,  2016.07.15
532,대유위니아(구.위니아만도),"6,800",409.31:1,  071460,  2016.07.14
533,한국자산신탁,"10,300",6.65:1,  123890,  2016.07.13
534,바이오리더스,"15,000",1222.58:1,  142760,  2016.07.07
535,피앤씨테크,"10,200",679.77:1,  237750,  2016.07.04
536,로스웰,"3,200",328.18:1,  900260,  2016.06.30
537,녹십자랩셀,"18,500","799,76:1",  144510,  2016.06.23
538,해성디에스,"12,000",158.41:1,  195870,  2016.06.24
539,에스티팜,"29,000",236.85:1,  237690,  2016.06.23
540,한국스팩4호,"2,000",0.37:1,  240540,  2016.06.22
541,알엔투테크놀로지,"5,800","1,442.55:1",  148250,  2016.06.22
542,미래에셋스팩5호,"2,000",3.73:1,  239340,  2016.06.09
543,용평리조트,"7,000",291.1:1,  070960,  2016.05.27
544,해태제과식품,"15,100",264.9:1,  101530,  2016.05.11
545,레이언스,"25,000",328.14:1,  228850,  2016.04.11
546,씨엠에스에듀,"23,200",185.81:1,  225330,  2016.04.07
547,동양파일,"10,000",2.03:1,  228340,  2016.04.06
548,대림씨엔에스,"27,700",25.5:1,  004440,  2016.03.30
549,팬젠,"16,500",1073:1,  222110,  2016.03.11
550,에이피위성통신,"9,700",869.66:1,  211270,  2016.03.04
551,하이에이아이스팩1호,"2,000",1.16:1,  235010,  2016.03.08
552,IBKS스팩4호,"2,000",23.76:1,  230980,  2016.03.02
553,케이비스팩9호,"2,000",0.24:1,  232270,  2016.02.29
554,큐리언트,"21,000",959.28:1,  115180,  2016.02.29
555,안트로젠,"24,000",1442.55:1,  065660,  2016.02.15
556,제이에스코퍼레이션,"23,000",477.76:1,  194370,  2016.02.04
557,아이엠텍,"7,500",138.9:1,  226350,  2016.02.03
558,차이나크리스탈신소재,"3,000",179.54:1,  900250,  2016.01.28
559,유니트론텍,"14,000",1112.76:1,  142210,  2016.02.02
560,한솔씨앤피,"13,000",789.84:1,  221610,  2016.01.27
561,코리아오토글라스,"11,000",430.14:1,  344820,  2015.12.29
562,에스와이패널,"5,000",363.49:1,  109610,  2015.12.29
563,잇츠스킨,"170,000",219.27:1,  226320,  2015.12.28
564,육일씨엔에쓰,"6,000",21.02:1,  191410,  2015.12.24
565,휴젤,"150,000",91.63:1,  145020,  2015.12.24
566,코디엠,"4,700",599.99:1,  224060,  2015.12.29
567,대신밸런스스팩2호,"2,000",0.03:1,  232140,  2015.12.24
568,이에스브이,"10,000",558.9:1,  223310,  2015.12.24
569,한국맥널티,"8,000",479.79:1,  222980,  2015.12.23
570,아진산업,"6,500",0.47:1,  013310,  2015.12.22
571,덱스터,"14,000",500.76:1,  206560,  2015.12.22
572,메가엠디,"3,000",280.82:1,  133750,  2015.12.18
573,씨트리,"6,500",199.96:1,  047920,  2015.12.21
574,강스템바이오텍,"6,000",40.92:1,  217730,  2015.12.21
575,동부스팩4호,"2,000",0.7:1,  230490,  2015.12.18
576,파크시스템스,"9,000",7.55:1,  140860,  2015.12.17
577,보광산업,"4,000",172.98:1,  225530,  2015.12.17
578,예스티,"14,500",9.8:1,  122640,  2015.12.16
579,하나금융스팩7호,"2,000",0.86:1,  230240,  2015.12.16
580,뉴트리바이오텍,"21,000",2.38:1,  222040,  2015.12.16
581,멕아이씨에스,"4,500",174.29:1,  058110,  2015.12.14
582,엔에스,"8,000",29.5:1,  217820,  2015.12.07
583,세진중공업,"3,500",2.29:1,  075580,  2015.11.30
584,미래테크놀로지,"16,100",1.50:1,  213090,  2015.12.01
585,하이즈항공,"18,000",3.08:1,  221840,  2015.11.25
586,엠지메드,"40,000",1350.05:1,  180400,  2015.11.20
587,리드,"5,100",45.64:1,  197210,  2015.11.20
588,케이디켐,"16,000",5.46:1,  221980,  2015.11.19
589,매직마이크로,"5,500",36.57:1,  127160,  2015.11.19
590,네오오토,"12,000",34.44:1,  212560,  2015.11.18
591,골든브릿지스팩4호,"2,000",5.07:1,  227950,  2015.11.18
592,케어젠,"110,000",263.19:1,  214370,  2015.11.17
593,아이진,"13,500",267.72:1,  185490,  2015.11.16
594,나무가,"37,000",0.91:1,  190510,  2015.11.12
595,금호에이치티,"10,000",32.87:1,  214330,  2015.11.11
596,유앤아이,"30,000",638.25:1,  056090,  2015.11.12
597,제주항공,"30,000",448.5:1,  089590,  2015.11.06
598,에이치엠씨스팩3호,"2,000",34.40:1,  226340,  2015.11.05
599,더블유게임즈,"65,000",241.18:1,  192080,  2015.11.04
600,연우,"25,200",680:1,  115960,  2015.11.02
601,키움스팩4호,"2,000",127.04:1,  226850,  2015.10.30
602,에이티젠,"17,000",1166.97:1,  182400,  2015.10.23
603,현대드림스팩4호,"2,000",215.34:1,  226360,  2015.10.22
604,엑시콘,"10,000",9.05:1,  092870,  2015.10.22
605,이베스트스팩3호,"2,000",143.73:1,  225440,  2015.10.19
606,IBKS스팩3호,"2,000",177.89:1,  225430,  2015.10.08
607,에치디프로,"8,900",843.36:1,  214870,  2015.10.13
608,엘아이지넥스원,"76,000",4.74:1,  079550,  2015.10.02
609,신영해피투모로우2호스팩,"2,000",198:1,  225590,  2015.10.05
610,동부스팩3호,"2,000",163.23:1,  226440,  2015.10.06
611,동일제강,"3,000",789.49:1,  002690,  2015.09.24
612,타이거일렉,"6,000",241.92:1,  219130,  2015.09.25
613,엔에이치스팩9호,"2,000",96.5:1,  225570,  2015.09.25
614,아이콘트롤스,"32,000",280.11:1,  039570,  2015.09.24
615,제너셈,"10,500",797.33:1,  217190,  2015.09.25
616,인포마크,"14,000",381:1,  175140,  2015.09.23
617,유진스팩3호,"2,000",265.32:1,  221200,  2015.09.09
618,한국스팩3호,"2,000",349.09:1,  222080,  2015.09.02
619,케이티비스팩3호,"2,000",260:1,  220630,  2015.08.28
620,교보스팩5호,"2,000",485.34:1,  223040,  2015.08.27
621,웹스,"7,200",1114.21:1,  196700,  2015.08.24
622,현대드림스팩3호,"2,000",234.75:1,  221950,  2015.08.21
623,에이제이네트웍스,"34,300",83.3:1,  095570,  2015.08.21
624,교보스팩4호,"2,000",447.18:1,  222810,  2015.08.13
625,파인텍,"10,500",1041.73:1,  131760,  2015.08.17
626,흥국에프엔비,"20,000",1001.61:1,  189980,  2015.08.07
627,미래에셋스팩4호,"2,000",190.30:1,  222420,  2015.08.06
628,케이비스팩8호,"2,000",221.90:1,  222390,  2015.08.05
629,칩스앤미디어,"10,500",82.85:1,  094360,  2015.08.05
630,아시아경제신문사,"3,600",12.31:1,  127710,  2015.07.31
631,로지시스,"2,500",396.82:1,  067730,  2015.07.29
632,아이쓰리시스템,"36,000",1506.57:1,  214430,  2015.07.30
633,엘아이지이에스스팩,"2,000",30.99:1,  220260,  2015.07.27
634,파마리서치프로덕트,"55,000",561:1,  214450,  2015.07.24
635,에스케이스팩2호,"2,000",130.38:1,  219550,  2015.07.23
636,펩트론,"16,000",1093.01:1,  087010,  2015.07.22
637,한화에이스스팩2호,"2,000",54.46:1,  219860,  2015.07.20
638,이노션,"68,000",204.13:1,  214320,  2015.07.17
639,유안타스팩2호,"2,000",132.03:1,  219960,  2015.07.17
640,토니모리,"32,000",771.08:1,  214420,  2015.07.10
641,미래에셋생명보험,"7,500",38.01:1,  085620,  2015.07.08
642,키움스팩3호,"2,000",61.23:1,  218710,  2015.07.10
643,골든브릿지스팩3호,"2,000",2.75:1,  219580,  2015.06.30
644,동운아나텍,"10,000",47.76:1,  094170,  2015.06.30
645,엔에이치스팩8호,"2,000",35:1,  218410,  2015.06.30
646,민앤지,"28,000",1107.81:1,  214180,  2015.06.30
647,경보제약,"15,000",263.87:1,  214390,  2015.06.29
648,유테크,"9,000",21.14:1,  178780,  2015.06.30
649,에스엔텍,"6,500",22.9:1,  160600,  2015.06.26
650,코아스템,"16,000",751.91:1,  166480,  2015.06.26
651,세미콘라이트,"11,300",143.52:1,  214310,  2015.06.25
652,이베스트스팩2호,"2,000",30.84:1,  217600,  2015.06.26
653,에스케이디앤디,"26,000",574.68:1,  210980,  2015.06.23
654,대신밸런스스팩1호,"2,000",272.26:1,  217270,  2015.06.18
655,하나머스트스팩5호,"2,000",392:1,  218150,  2015.06.18
656,베셀,"9,000",680.95:1,  177350,  2015.06.19
657,하이스팩3호,"2,000",112.60:1,  217500,  2015.06.16
658,싸이맥스,"16,300",178.03:1,  160980,  2015.06.17
659,엔에이치스팩7호,"2,000",289.38:1,  217810,  2015.06.12
660,픽셀플러스,"30,000",68.09:1,  087600,  2015.06.12
661,한화에이씨피씨스팩,"2,000",310.63:1,  217620,  2015.06.10
662,제노포커스,"11,000",1206.75:1,  187420,  2015.05.29
663,미래에셋스팩3호,"2,000",329.33:1,  215750,  2015.05.22
664,한화엠지아이스팩,"2,000",392.78:1,  215380,  2015.05.18
665,대우스팩3호,"2,000",365.65:1,  215580,  2015.05.19
666,대우에스비아이스팩1호,"2,000",226.7:1,  215480,  2015.05.13
667,엔에이치스팩5호,"2,000",378.79:1,  215790,  2015.05.08
668,유진에이씨피씨스팩2호,"2,000",240.01:1,  215090,  2015.04.28
669,하나머스트스팩4호,"2,000",427.53:1,  215100,  2015.04.22
670,한화에이스스팩1호,"2,000",357.52:1,  214680,  2015.04.20
671,유지인트,"15,000",857.34:1,  195990,  2015.04.13
672,케이티비스팩2호,"2,000",285:1,  214150,  2015.04.03
673,NS쇼핑(구.농수산홈쇼핑),"235,000",236.82:1,  138250,  2015.03.27
674,케이비스팩7호,"2,000",195:1,  214270,  2015.03.25
675,세화아이엠씨,"16,300",731.79:1,  145210,  2015.03.19
676,포시에스,"9,100",1162.83:1,  189690,  2015.02.11
677,골든브릿지스팩2호,"2,000",210:6,  206660,  2015.02.05
678,국일신동,"1,700",90.83:1,  060480,  2014.12.29
679,영백씨엠,"5,500",358:1,  193250,  2014.12.29
680,NH스팩2호,"2,000",0.55:1,  206640,  2014.12.29
681,현대드림스팩2호,"2,000",0.9:1,  204630,  2014.12.29
682,케이비스팩6호,"2,000",2.42:1,  208640,  2014.12.29
683,서전기전,"6,500",8.89:1,  189860,  2014.12.24
684,하이셈,"1,500",72.16:1,  200470,  2014.12.26
685,교보스팩3호,"2,000",20.77:1,  208710,  2014.12.24
686,휴메딕스,"28,000",571.55:1,  200670,  2014.12.26
687,오킨스전자,"7,100",9.08:1,  080580,  2014.12.24
688,넥스트엔터테인먼트월드,"16,300",33.55:1,  160550,  2014.12.23
689,하나머스트스팩3호,"2,000",27.54:1,  208870,  2014.12.24
690,아스트,"9,500",4.11:1,  067390,  2014.12.24
691,케이비스팩5호,"2,000",0.54:1,  208350,  2014.12.24
692,아이티센,"7,500",2.63:1,  124500,  2014.12.23
693,제일모직(구.삼성에버랜드),"53,000",194.9:1,  028260,  2014.12.18
694,하이로닉,"51,000",219.96:1,  149980,  2014.12.17
695,하나머스트스팩2호,"2,000",1.69:1,  208370,  2014.12.17
696,우리에스엘스팩,"2,000",2.51:1,  207720,  2014.12.17
697,디티앤씨(구.디지털이엠씨),"18,500",620.63:1,  187220,  2014.12.17
698,엘아이지스팩2호,"2,000",2.1:1,  208140,  2014.12.17
699,녹십자엠에스,"6,000",477.08:1,  142280,  2014.12.17
700,랩지노믹스,"13,200",305.88:1,  084650,  2014.12.16
701,에이디테크놀로지,"15,000",12.4:1,  200710,  2014.12.16
702,비씨월드제약,"15,700",681:1,  200780,  2014.12.15
703,동부스팩2호,"2,000",2.45:1,  207760,  2014.12.12
704,알테오젠,"26,000",564.78:1,  196170,  2014.12.12
705,한국스팩2호,"2,000",1.21:1,  206400,  2014.12.10
706,에스케이씨코오롱피아이,"8,000",45.53:1,  178920,  2014.12.08
707,대창스틸,"2,500",568:1,  140520,  2014.12.05
708,에프엔씨엔터테인먼트,"28,000",577.37:1,  173940,  2014.12.04
709,하이스팩2호,"2,000",19.86:1,  205470,  2014.12.01
710,씨에스윈드,"43,500",66.4:1,  112610,  2014.11.27
711,케이티비스팩1호,"2,000",39.46:1,  204650,  2014.11.24
712,텔콘,"14,500",482.06:1,  200230,  2014.11.24
713,파티게임즈,"13,000",735.99:1,  194510,  2014.11.21
714,IBKS스팩2호,"2,000",60.22:1,  204840,  2014.11.20
715,유안타스팩1호,"2,000",62.9:1,  204620,  2014.11.19
716,디에이테크놀로지,"6,600",488.77:1,  196490,  2014.11.19
717,삼성SDS,"190,000",134.19:1,  018260,  2014.11.14
718,케이비스팩4호,"2,000",0.17:1,  205500,  2014.11.12
719,현대에이블스팩1호,"2,000",0.49:1,  204760,  2014.11.10
720,테고사이언스,"13,500",622.14:1,  191420,  2014.11.06
721,교보위드스팩,"2,000",8.89:1,  205100,  2014.11.07
722,슈피겐코리아,"27,500",360.12:1,  192440,  2014.11.05
723,테라셈,"3,000",54.22:1,  182690,  2014.10.30
724,영우디에스피,"5,000",32.32:1,  143540,  2014.10.29
725,대우스팩2호,"2,000",0.49:1,  204440,  2014.10.22
726,신한스팩2호,"2,000",64.46:1,  203650,  2014.10.13
727,데브시스터즈,"53,000",285.28:1,  194480,  2014.10.06
728,메디아나,"6,200",12.88:1,  041920,  2014.10.07
729,KB스팩3호,"2,000",98.86:1,  203690,  2014.09.30
730,감마누,"11,000",1389.86:1,  192410,  2014.08.14
731,우리스팩3호,"2,000",284.88:1,  198440,  2014.08.13
732,신화콘텍,"9,100",99.3:1,  187270,  2014.08.08
733,쿠쿠전자,"104,000",175.1:1,  192400,  2014.08.06
734,덕신하우징,"13,000",899.07:1,  090410,  2014.08.01
735,파버나인,"12,500",173.89:1,  177830,  2014.08.04
736,창해에탄올,"8,300",675.79:1,  004650,  2014.07.30
737,윈하이텍,"8,300",589.58:1,  192390,  2014.07.25
738,미래에셋스팩2호,"2,000",186.41:1,  200130,  2014.07.23
739,아진엑스텍,"7,000",876.27:1,  059120,  2014.07.24
740,화인베스틸,"4,700",248.12:1,  133820,  2014.07.22
741,트루윈,"10,500",1018.09:1,  105550,  2014.07.11
742,하나머스트스팩,"2,000",284.5:1,  194610,  2014.06.10
743,캐스텍코리아,"6,500",807.11:1,  071850,  2014.05.27
744,BGF리테일(구.보광훼미리마트),"41,000",181.3:1,  027410,  2014.05.19
745,유진스팩1호,"2,000",36.11:1,  187790,  2014.05.08
746,KB스팩2호,"2,000",79.87:1,  192250,  2014.04.28
747,오이솔루션,"10,000",1253.41:1,  138080,  2014.02.27
748,인터파크INT,"7,700",492.5:1,  108790,  2014.02.06
749,한국정보인증,"1,800",922:1,  053300,  2014.02.04
750,이지웰페어,"4,400",568.42:1,  090850,  2013.12.27
751,솔루에타,"24,000",20.79;1,  154040,  2013.12.27
752,인트로메딕,"6,000",256.35:1,  150840,  2013.12.19
753,키움제2호스팩,"2,000",0.39:1,  184230,  2013.12.20
754,기가레인(구.맥시스),"5,500",14.9:1,  049080,  2013.12.19
755,알티캐스트,"8,500",572.09:1,  085810,  2013.12.06
756,엔브이에이치코리아,"4,500",18.37:1,  067570,  2013.12.03
757,현대공업,"7,500",697:1,  170030,  2013.12.04
758,디엠티,"5,700",535.94:1,  134580,  2013.11.26
759,우리기업인수목적2호,"2,000",1.55:1,  182360,  2013.11.21
760,신송홀딩스,"6,500",548.34:1,  006880,  2013.11.21
761,라이온켐텍,"12,500",606.37:1,  171120,  2013.11.19
762,램테크놀러지,"3,900",640.94:1,  171010,  2013.11.18
763,미동전자통신,"20,000",585.2:1,  161570,  2013.11.13
764,에이씨티,"8,100",472.29:1,  138360,  2013.11.08
765,해성옵틱스,"6,600",249.01:1,  076610,  2013.11.06
766,현대로템,"23,000",54.53:1,  064350,  2013.10.30
767,내츄럴엔도텍,"40,000",609.82:1,  168330,  2013.10.31
768,테스나,"13,500",643.73:1,  131970,  2013.10.22
769,파수닷컴,"5,800",449.72:1,  150900,  2013.10.18
770,엘티씨,"20,500",702.54:1,  170920,  2013.10.08
771,지엔씨에너지,"6,000",1251:1,  119850,  2013.10.02
772,아미코젠,"25,000",641.43:1,  092040,  2013.09.12
773,파이오링크,"10,500",720.3:1,  170790,  2013.08.01
774,금호N.T,"3,100",987.83:1,  130500,  2013.08.02
775,KG이티에스,"3,800",390.88:1,  151860,  2013.07.24
776,나스미디어,"8,800",781:1,  089600,  2013.07.17
777,엑세스바이오,"4,500",692:1,  950130,  2013.05.30
778,디에스알,"4,000",406.30:1,  155660,  2013.05.15
779,레고켐바이오사이언스,"15,500",604.97:1,  141080,  2013.05.10
780,삼목강업,"2,600",276:1,  158380,  2013.04.30
781,세호로보트,"7,800",514.5:1,  158310,  2013.04.03
782,윈팩,"4,000",39.65:1,  097800,  2013.03.07
783,코렌텍,"16,000",586.12:1,  104540,  2013.03.05
784,제로투세븐,"8,300",750.87:1,  159580,  2013.02.19
785,지디,"18,000",536.3:1,  155960,  2013.02.13
786,아이원스,"4,500",638.66:1,  114810,  2013.02.07
787,우리이앤엘,"4,900",3.04:1,  153490,  2013.02.05
788,아이센스,"19,000",714.5:1,  099190,  2013.01.30
789,포티스,"3,900",834.7:1,  141020,  2013.01.29
790,씨에스엘쏠라,"10,000",12.15:1,  159910,  2012.12.27
791,SBIAXES(구.AXES홀딩스),"3,600",2.4:1,  950110,  2012.12.17
792,우리로광통신,"10,300",195:1,  046970,  2012.11.27
793,디젠스,"1,800",710.64:1,  113810,  2012.11.22
794,맥스로텍,"7,000",1132:1,  141070,  2012.11.16
795,GMB코리아,"6,000",191.21:1,  013870,  2012.11.20
796,와이엠씨,"6,000",557.18:1,  155650,  2012.11.15
797,CJ헬로비전,"16,000",0.26:1,  037560,  2012.11.09
798,아바텍,"6,300",551.8:1,  149950,  2012.11.06
799,코이즈,"7,500",609.99:1,  121850,  2012.09.27
800,모다정보통신,"7,000",499.89:1,  149940,  2012.09.25
801,나노스,"7,000",438.54:1,  151910,  2012.08.02
802,에이제이렌터카(구.아주오토렌탈),"7,000",0.23:1,  068400,  2012.07.27
803,우양에이치씨,"5,500",5.64:1,  101970,  2012.07.26
804,엠씨넥스,"15,000",1.70:1,  097520,  2012.07.25
805,네이블커뮤니케이션즈,"9,000",241.42:1,  153460,  2012.07.19
806,디지탈옵틱,"11,500",596.87:1,  106520,  2012.07.13
807,피엔티,"17,000",1116.89:1,  137400,  2012.07.06
808,사조씨푸드,"10,600",218.3:1,  014710,  2012.06.29
809,비아트론,"15,900",834.68:1,  141000,  2012.05.04
810,에스비아이모기지,"7,000",1.81:1,  950100,  2012.04.30
811,코오롱패션머티리얼,"14,500",691.76:1,  144620,  2012.04.05
812,빛샘전자,"4,400",1000.47:1,  072950,  2012.03.21
813,휴비스,"12,200",25.32:1,  079980,  2012.02.23
814,사람인에이치알,"5,000",1057.8:1,  143240,  2012.02.21
815,뉴로스,"8,500",1255.32:1,  126870,  2012.02.15
816,남화토건,"3,000",1269.57:1,  091590,  2012.01.31
817,케이탑리츠,"5,500",,  145270,  2012.01.31
818,동아팜텍,"24,000",543:1,  140410,  2012.01.20
819,원익머트리얼즈,"27,000",417.16:1,  104830,  2011.12.28
820,디엔에이링크,"7,700",836.99:1,  127120,  2011.12.26
821,나이스디앤비,"1,700",216.35:1,  130580,  2011.12.22
822,GS리테일(지에스리테일),"19,500",5.69:1,  007070,  2011.12.23
823,시큐브,"4,900",6.48:1,  131090,  2011.12.21
824,서암기계공업,"3,800",183.36:1,  100660,  2011.12.19
825,씨유메디칼시스템,"12,000",568.84:1,  115480,  2011.12.15
826,인터지스,"10,000",3.14:1,  129260,  2011.12.16
827,사파이어테크놀로지,"65,000",300.33:1,  123260,  2011.12.05
828,티브이로직,"12,000",652.7:1,  121800,  2011.12.01
829,넥스트리밍,"6,000",306.71:1,  139670,  2011.12.02
830,에스에프씨,"14,000",82.8:1,  112240,  2011.11.30
831,이엠넷,"6,400",862.5:1,  123570,  2011.11.25
832,신진에스엠,"15,000",443.77:1,  138070,  2011.11.28
833,와이지엔터테인먼트,"34,000",560:1,  122870,  2011.11.23
834,쎄미시스코,"9,500",781:1,  136510,  2011.11.18
835,아이테스트,"2,400",446.2:1,  089530,  2011.11.11
836,테크윙,"23,000",801.89:1,  089030,  2011.11.10
837,신흥기계,"8,500",1014.97:1,  007820,  2011.11.08
838,씨큐브,"5,750",791.35:1,  101240,  2011.11.08
839,씨엔플러스,"11,500",1221.89:1,  115530,  2011.11.02
840,테라세미콘,"13,500",864:1,  123100,  2011.11.01
841,케이맥,"14,500",745:1,  043290,  2011.10.25
842,로보스타,"5,800",184:1,  090360,  2011.10.17
843,넥솔론,"4,000",68.7:1,  110570,  2011.10.14
844,대한과학,"3,000",414:1,  131220,  2011.10.11
845,피앤이솔루션,"8,000",867.62:1,  131390,  2011.09.27
846,화진,"4,300",1166.02:1,  134780,  2011.08.10
847,제이씨케미칼,"7,200",545.66:1,  137950,  2011.08.08
848,아이씨디,"34,000",512.93:1,  040910,  2011.08.05
849,제닉,"22,000",330.49:1,  123330,  2011.08.03
850,경봉,"7,100",965.5:1,  139050,  2011.07.29
851,상아프론테크,"6,000",670.85:1,  089980,  2011.07.21
852,삼원강재,"4,000",707.07:1,  023000,  2011.07.22
