,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.4,1.2375,1.4175,1.36,1.255,1.21,1.18,,,,,,,,,,,,,,,,,
1,2.107142857142857,1.7482142857142857,1.6035714285714286,1.625,1.55,1.5,1.4285714285714286,1.4303571428571429,,,,,,,,,,,,,,,,
2,2.218543046357616,2.1456953642384105,2.152317880794702,2.062913907284768,1.9966887417218544,1.913907284768212,1.913907284768212,1.913907284768212,1.8708609271523178,1.8112582781456954,1.7417218543046358,1.781456953642384,1.794701986754967,1.7152317880794703,1.6258278145695364,1.5662251655629138,1.6158940397350994,1.599337748344371,1.5529801324503312,1.5264900662251655,1.4834437086092715,,,
3,1.226,1.24,1.262,1.218,1.242,1.466,1.492,1.42,1.462,1.488,1.76,1.792,2.168,2.112,2.312,2.276,2.104,1.84,2.228,1.99,2.008,,,
4,1.4475524475524475,1.43006993006993,1.2902097902097902,1.2587412587412588,1.2237762237762237,1.1853146853146854,1.5174825174825175,1.548951048951049,1.6153846153846154,1.486013986013986,1.832167832167832,1.9580419580419581,1.972027972027972,1.8286713286713288,1.8251748251748252,1.7482517482517483,1.7062937062937062,1.7972027972027973,1.7552447552447552,1.7762237762237763,1.7552447552447552,1.7132867132867133,1.7202797202797202,1.6048951048951048
5,1.53125,1.490625,1.55625,1.5125,1.4890625,1.409375,1.3578125,1.3078125,1.45625,1.4375,1.3890625,1.4,1.4125,1.38125,1.3859375,1.39375,1.4,1.3875,1.3609375,1.3640625,1.35,1.3421875,1.36875,
6,1.28,1.5046153846153847,1.2446153846153847,1.166153846153846,1.1676923076923076,1.1353846153846154,1.0907692307692307,1.0876923076923077,1.0953846153846154,1.0646153846153845,1.0846153846153845,1.063076923076923,1.0584615384615386,1.0553846153846154,1.0261538461538462,1.0061538461538462,1.0169230769230768,1.0046153846153847,1.0092307692307692,1.06,1.0507692307692307,1.08,,
7,1.4555555555555555,1.3977777777777778,1.3066666666666666,1.3533333333333333,1.288888888888889,1.2777777777777777,1.3555555555555556,1.42,1.3688888888888888,1.3866666666666667,1.3444444444444446,1.32,1.2666666666666666,1.2644444444444445,1.288888888888889,1.3444444444444446,1.3644444444444443,1.3777777777777778,1.3644444444444443,1.38,1.3466666666666667,,,
8,2.273913043478261,2.1869565217391305,1.991304347826087,1.882608695652174,1.8,1.8,2.0130434782608697,1.7956521739130435,1.682608695652174,1.5913043478260869,1.6304347826086956,1.6347826086956523,1.6434782608695653,1.5869565217391304,1.5695652173913044,1.5,1.4956521739130435,1.491304347826087,1.491304347826087,1.4782608695652173,1.3869565217391304,,,
9,1.6526315789473685,1.4605263157894737,1.4631578947368422,1.4736842105263157,1.5526315789473684,1.4736842105263157,1.4736842105263157,1.4894736842105263,1.4842105263157894,1.4394736842105262,1.3921052631578947,1.3842105263157896,1.4105263157894736,1.4052631578947368,1.3868421052631579,1.3868421052631579,1.3657894736842104,1.3473684210526315,1.3526315789473684,1.313157894736842,1.2894736842105263,1.2526315789473683,,
