,Unnamed: 0,name,cost,competitive rate,code,date
62,62,SK아이이테크놀로지,"105,000",288.17:1,361610,  2021.05.11
63,63,쿠콘,"45,000",1596.32:1,294570,  2021.04.28
64,64,해성티피씨,"13,000",2053.27:1,59270,  2021.04.21
65,65,이삭엔지니어링,"11,500",2262.09:1,351330,  2021.04.21
66,66,유진스팩6호,"2,000",236.23:1,373340,  2021.04.08
67,67,유안타스팩8호,"2,000",84.91:1,367480,  2021.04.05
68,68,엔시스,"19,000",2573.60:1,333620,  2021.04.01
69,69,자이언트스텝,"11,000",2342:1,289220,  2021.03.24
70,70,제노코,"36,000",2095.45:1,361390,  2021.03.24
71,71,라이프시맨틱스,"12,500",1774.57:1,347700,  2021.03.23
72,72,SK바이오사이언스,"65,000",335.36:1,302440,  2021.03.18
73,73,바이오다인,"30,000",48.36:1,314930,  2021.03.17
74,74,디비금융스팩9호,"2,000",8.56:1,367360,  2021.03.16
75,75,네오이뮨텍,"7,500",664.65:1,950220,  2021.03.16
76,76,프레스티지바이오로직스,"12,400",126.06:1,334970,  2021.03.11
77,77,싸이버원,"9,500",1880.43:1,356890,  2021.03.11
78,78,나노씨엠에스,"20,000",1243.48:1,247660,  2021.03.09
79,79,하나머스트스팩7호,"2,000",237.46:1,372290,  2021.03.05
80,80,IBKS스팩15호,"2,000",101.73:1,373200,  2021.02.26
81,81,뷰노,"21,000",1102.7:1,338220,  2021.02.26
82,82,씨이랩,"35,000",195.53:1,189330,  2021.02.24
83,83,유일에너테크,"16,000",683.55:1,340930,  2021.02.25
84,84,오로스테크놀로지,"21,000",1033.82:1,322310,  2021.02.24
85,85,피엔에이치테크,"18,000",1528.76:1,239890,  2021.02.16
86,86,하나금융스팩17호,"2,000",168.68:1,363260,  2021.02.10
87,87,아이퀘스트,"11,000",2853.34:1,262840,  2021.02.05
88,88,프레스티지바이오파마,"32,000",237.13:1,950210,  2021.02.05
89,89,와이더플래닛,"16,000",1357.98:1,321820,  2021.02.03
90,90,레인보우로보틱스,"10,000",1201.26:1,277810,  2021.02.03
91,91,신한스팩7호,"2,000",7.45:1,366330,  2021.02.04
92,92,솔루엠,"17,000",1147.76:1,248070,  2021.02.02
93,93,핑거,"16,000",939.39:1,163730,  2021.01.29
94,94,씨앤투스성진,"32,000",674.04:1,352700,  2021.01.28
95,95,모비릭스,"14,000",1485.51:1,348030,  2021.01.28
96,96,선진뷰티사이언스,"11,500",1987.74:1,86710,  2021.01.27
97,97,엔비티,"19,000",4397.67:1,236810,  2021.01.21
98,98,한국스팩9호,"2,000",46.54:1,368770,  2021.01.21
99,99,유안타스팩7호,"2,000",0.22:1,367460,  2020.12.28
100,100,석경에이티,"10,000",1751.58:1,357550,  2020.12.23
101,101,지놈앤컴퍼니,"40,000",1175.10:1,314130,  2020.12.23
102,102,프리시젼바이오,"12,500",1557.29:1,335810,  2020.12.22
103,103,대신밸런스스팩9호,"2,000",5.31:1,369370,  2020.12.23
104,104,엔에이치스팩18호,"2,000",6.81:1,365590,  2020.12.21
105,105,알체라,"10,000",1322.58:1,347860,  2020.12.21
106,106,에프앤가이드,"7,000",1353.9:1,64850,  2020.12.17
107,107,에이치엠씨아이비스팩5호,"2,000",0.64:1,353060,  2020.12.16
108,108,이에스알켄달스퀘어리츠,"5,000",3.59:1,365550,  2020.12.23
109,109,티엘비,"38,000",1551.19:1,356860,  2020.12.14
110,110,인바이오,"5,800",1414.15:1,352940,  2020.12.11
111,111,엔젠바이오,"14,000",1502.4:1,354200,  2020.12.10
112,112,퀀타매트릭스,"25,500",167.87:1,317690,  2020.12.09
113,113,디비금융스팩8호,"2,000",0.71:1,367340,  2020.12.09
114,114,명신산업,"6,500",1372.94:1,9900,  2020.12.07
115,115,엔에프씨,"13,400",643.85:1,265740,  2020.12.02
116,116,앱코,"24,300",978.13:1,129890,  2020.12.02
117,117,포인트모바일,"15,000",1842.97:1,318020,  2020.12.03
118,118,클리노믹스,"13,900",341.46:1,352770,  2020.12.04
119,119,제일전기공업,"17,000",1396.1:1,199820,  2020.11.26
120,120,하나기술,"35,000",1802.10:1,299030,  2020.11.25
121,121,티앤엘,"36,000",1109.19:1,340570,  2020.11.20
122,122,에이플러스에셋어드바이저,"7,500",24.75:1,244920,  2020.11.20
123,123,네패스아크,"26,500",830.21:1,330860,  2020.11.17
124,124,고바이오랩,"15,000",566.54:1,348150,  2020.11.18
125,125,교촌에프앤비,"12,300",1318.29:1,339770,  2020.11.12
126,126,소룩스,"10,000",1660.08:1,290690,  2020.11.06
127,127,위드텍,"25,000",1185.51:1,348350,  2020.10.30
128,128,센코,"13,000",366.42:1,347000,  2020.10.29
129,129,바이브컴퍼니,"28,000",1266.22:1,301300,  2020.10.28
130,130,미코바이오메드,"15,000",41.74:1,214610,  2020.10.22
131,131,피플바이오,"20,000",51.08:1,304840,  2020.10.19
132,132,하이브(구.빅히트),"135,000",606.97:1,352820,  2020.10.15
133,133,넥스틴,"75,400",13.92:1,348210,  2020.10.08
